Title,Year,Age,IMDb,Rotten Tomatoes
Miraculous: Tales of Ladybug & Cat Noir,2015,7,77.0,73
Abstract: The Art of Design,2017,16,84.0,73
Teenage Bounty Hunters,2020,18,77.0,72
Documentary Now!,2015,18,81.0,72
Special,2019,18,76.0,72
JoJo's Bizarre Adventure,2012,18,84.0,72
Manhunt,2017,16,81.0,72
Your Lie in April,2014,7,86.0,72
Code Geass: Lelouch of the Rebellion,2006,18,87.0,72
Middleditch & Schwartz,2020,18,86.0,72
Zoo,2015,16,67.0,72
Jupiters Legacy,2021,18,67.0,72
Ratched,2020,18,73.0,72
Babylon Berlin,2017,18,84.0,72
Everything Sucks!,2018,16,75.0,72
Evil Genius,2018,18,75.0,72
Doctor Foster,2015,16,77.0,72
Marcella,2016,18,74.0,72
Survivor,2000,7,72.0,72
Derek,2013,7,80.0,72
3%,2016,18,74.0,72
Tuca & Bertie,2019,18,74.0,72
Parasyte -the maxim-,2014,18,83.0,72
Last Chance U,2016,16,84.0,71
Trailer Park Boys,2001,18,85.0,71
Black Lightning,2018,16,61.0,71
Chicago Med,2015,16,76.0,71
How to Sell Drugs Online (Fast),2019,18,79.0,71
Secret City,2016,18,74.0,71
Dynasty,2017,16,73.0,71
Dracula,2020,18,68.0,71
Space Force,2020,18,67.0,71
Pretend It's a City,2021,16,81.0,71
Masters of the Universe: Revelation,2021,7,49.0,71
iCarly,2007,0,67.0,71
Who Killed Sara?,2021,18,64.0,71
Sword Art Online,2012,18,76.0,71
Paranormal,2020,7,85.0,71
Frontier,2016,18,72.0,71
The Politician,2019,16,75.0,71
Raising Dion,2019,7,72.0,71
Food Wars! Shokugeki no Soma,2015,18,82.0,71
Crash Landing on You,2019,16,87.0,71
Seven Seconds,2018,18,77.0,71
The Great British Bake Off,2010,7,85.0,70
Wizards: Tales of Arcadia,2020,7,82.0,70
Conversations with a Killer: The Ted Bundy Tapes,2019,18,78.0,70
Fate: The Winx Saga,2021,18,69.0,70
The Circle,2020,18,73.0,70
Cheer,2020,16,81.0,70
Hemlock Grove,2013,18,71.0,70
Transformers: War for Cybertron: Siege,2020,16,74.0,70
Explained,2018,16,80.0,70
Messiah,2020,18,76.0,70
Sky Rojo,2021,18,65.0,70
Bonding,2019,18,72.0,70
I'm Sorry,2017,7,80.0,70
Katla,2021,18,71.0,70
It's Okay to Not Be Okay,2020,16,88.0,70
Forensic Files,1996,16,88.0,70
Workin' Moms,2017,18,76.0,70
The Toys That Made Us,2017,16,81.0,70
The Devil Next Door,2019,18,76.0,70
Kipo and the Age of Wonderbeasts,2020,7,84.0,70
"Roswell, New Mexico",2019,16,62.0,70
Night Stalker: The Hunt For a Serial Killer,2021,18,75.0,70
Glitch,2015,16,73.0,70
Great Pretender,2020,18,80.0,69
InuYasha,2000,16,79.0,69
In the Dark,2019,16,75.0,69
GHOUL,2018,18,71.0,69
Nailed It!,2018,7,74.0,69
Voltron: Legendary Defender,2016,7,81.0,69
Trollhunters: Tales of Arcadia,2016,7,84.0,69
Sweet Magnolias,2020,16,74.0,69
Medici: Masters of Florence,2016,7,79.0,69
Aggretsuko,2018,16,81.0,69
Jurassic World: Camp Cretaceous,2020,7,75.0,69
Rake,2010,16,85.0,69
The Gift,2019,18,72.0,69
Violet Evergarden,2018,16,85.0,69
3Below: Tales of Arcadia,2018,7,77.0,69
Jeffrey Epstein: Filthy Rich,2020,18,71.0,69
Dawson's Creek,1998,7,66.0,69
Private Practice,2007,16,67.0,69
Beauty and the Beast,2012,7,70.0,69
Daybreak,2019,18,67.0,69
Easy,2016,18,69.0,69
Behind Her Eyes,2021,18,72.0,68
Collateral,2018,18,68.0,68
Knightfall,2017,16,68.0,68
The Confession Killer,2019,16,74.0,68
Sophie: A Murder In West Cork,2021,18,69.0,68
Call My Agent!,2015,16,83.0,68
My Little Pony: Friendship Is Magic,2010,7,76.0,68
Leah Remini: Scientology and the Aftermath,2016,16,90.0,68
Containment,2016,16,72.0,68
Z Nation,2014,16,67.0,68
Emily in Paris,2020,18,70.0,68
Victorious,2010,7,69.0,68
Scream: The TV Series,2015,16,71.0,68
Akame ga Kill!,2014,18,78.0,68
Warrior Nun,2020,18,69.0,68
Bad Blood,2017,18,75.0,68
Young & Hungry,2014,16,74.0,68
Caliphate,2020,18,82.0,68
Good Witch,2015,7,73.0,68
Gilmore Girls: A Year in the Life,2016,16,76.0,68
Aquarius,2015,16,71.0,68
Firefly Lane,2021,18,74.0,67
White Gold,2017,18,74.0,67
Hyperdrive,2019,7,81.0,67
Ninjago: Masters of Spinjitzu,2012,0,72.0,67
BEASTARS,2019,18,78.0,67
Kill la Kill,2013,18,79.0,67
Down to Earth with Zac Efron,2020,7,81.0,67
Ancient Aliens,2010,7,72.0,67
Slasher,2016,18,67.0,67
Time: The Kalief Browder Story,2017,16,85.0,67
Away,2020,16,66.0,67
No Tomorrow,2016,7,73.0,67
Locked Up,2015,18,82.0,67
The Frankenstein Chronicles,2015,16,73.0,67
The Ranch,2016,16,75.0,67
Cursed,2020,18,59.0,67
Wu Assassins,2019,18,65.0,67
Mr. Sunshine,2018,18,88.0,67
The Unicorn,2019,7,72.0,67
Anohana: The Flower We Saw That Day,2011,16,82.0,67
The Challenge,1998,16,77.0,67
Gypsy,2017,18,68.0,67
Fuller House,2016,7,67.0,67
Killer Inside: The Mind of Aaron Hernandez,2020,18,74.0,67
RESIDENT EVIL: Infinite Darkness,2021,18,58.0,67
1983,2018,18,68.0,67
Wet Hot American Summer: First Day of Camp,2015,16,74.0,67
The Baker and the Beauty,2020,16,74.0,67
Spinning Out,2020,18,76.0,67
Trinkets,2019,18,71.0,67
