Title,Year,Age,IMDb,Rotten Tomatoes
everything sucks!,2018,16,75.0,72
evil genius,2018,18,75.0,72
doctor foster,2015,16,77.0,72
marcella,2016,18,74.0,72
survivor,2000,7,72.0,72
derek,2013,7,80.0,72
3%,2016,18,74.0,72
tuca & bertie,2019,18,74.0,72
parasyte -the maxim-,2014,18,83.0,72
last chance u,2016,16,84.0,71
trailer park boys,2001,18,85.0,71
black lightning,2018,16,61.0,71
chicago med,2015,16,76.0,71
how to sell drugs online (fast),2019,18,79.0,71
secret city,2016,18,74.0,71
dynasty,2017,16,73.0,71
dracula,2020,18,68.0,71
space force,2020,18,67.0,71
pretend it's a city,2021,16,81.0,71
masters of the universe: revelation,2021,7,49.0,71
icarly,2007,0,67.0,71
who killed sara?,2021,18,64.0,71
sword art online,2012,18,76.0,71
paranormal,2020,7,85.0,71
frontier,2016,18,72.0,71
the politician,2019,16,75.0,71
raising dion,2019,7,72.0,71
food wars! shokugeki no soma,2015,18,82.0,71
crash landing on you,2019,16,87.0,71
seven seconds,2018,18,77.0,71
the great british bake off,2010,7,85.0,70
wizards: tales of arcadia,2020,7,82.0,70
conversations with a killer: the ted bundy tapes,2019,18,78.0,70
fate: the winx saga,2021,18,69.0,70
the circle,2020,18,73.0,70
cheer,2020,16,81.0,70
hemlock grove,2013,18,71.0,70
transformers: war for cybertron: siege,2020,16,74.0,70
explained,2018,16,80.0,70
messiah,2020,18,76.0,70
sky rojo,2021,18,65.0,70
bonding,2019,18,72.0,70
i'm sorry,2017,7,80.0,70
katla,2021,18,71.0,70
it's okay to not be okay,2020,16,88.0,70
forensic files,1996,16,88.0,70
workin' moms,2017,18,76.0,70
the toys that made us,2017,16,81.0,70
the devil next door,2019,18,76.0,70
kipo and the age of wonderbeasts,2020,7,84.0,70
"roswell, new mexico",2019,16,62.0,70
night stalker: the hunt for a serial killer,2021,18,75.0,70
glitch,2015,16,73.0,70
great pretender,2020,18,80.0,69
inuyasha,2000,16,79.0,69
in the dark,2019,16,75.0,69
ghoul,2018,18,71.0,69
nailed it!,2018,7,74.0,69
voltron: legendary defender,2016,7,81.0,69
trollhunters: tales of arcadia,2016,7,84.0,69
sweet magnolias,2020,16,74.0,69
medici: masters of florence,2016,7,79.0,69
aggretsuko,2018,16,81.0,69
jurassic world: camp cretaceous,2020,7,75.0,69
rake,2010,16,85.0,69
the gift,2019,18,72.0,69
violet evergarden,2018,16,85.0,69
3below: tales of arcadia,2018,7,77.0,69
jeffrey epstein: filthy rich,2020,18,71.0,69
dawson's creek,1998,7,66.0,69
private practice,2007,16,67.0,69
beauty and the beast,2012,7,70.0,69
daybreak,2019,18,67.0,69
easy,2016,18,69.0,69
behind her eyes,2021,18,72.0,68
collateral,2018,18,68.0,68
knightfall,2017,16,68.0,68
the confession killer,2019,16,74.0,68
sophie: a murder in west cork,2021,18,69.0,68
call my agent!,2015,16,83.0,68
my little pony: friendship is magic,2010,7,76.0,68
leah remini: scientology and the aftermath,2016,16,90.0,68
containment,2016,16,72.0,68
z nation,2014,16,67.0,68
emily in paris,2020,18,70.0,68
victorious,2010,7,69.0,68
scream: the tv series,2015,16,71.0,68
akame ga kill!,2014,18,78.0,68
warrior nun,2020,18,69.0,68
bad blood,2017,18,75.0,68
young & hungry,2014,16,74.0,68
caliphate,2020,18,82.0,68
good witch,2015,7,73.0,68
gilmore girls: a year in the life,2016,16,76.0,68
aquarius,2015,16,71.0,68
firefly lane,2021,18,74.0,67
white gold,2017,18,74.0,67
hyperdrive,2019,7,81.0,67
ninjago: masters of spinjitzu,2012,0,72.0,67
beastars,2019,18,78.0,67
kill la kill,2013,18,79.0,67
down to earth with zac efron,2020,7,81.0,67
ancient aliens,2010,7,72.0,67
slasher,2016,18,67.0,67
time: the kalief browder story,2017,16,85.0,67
away,2020,16,66.0,67
no tomorrow,2016,7,73.0,67
locked up,2015,18,82.0,67
the frankenstein chronicles,2015,16,73.0,67
the ranch,2016,16,75.0,67
cursed,2020,18,59.0,67
wu assassins,2019,18,65.0,67
mr. sunshine,2018,18,88.0,67
the unicorn,2019,7,72.0,67
anohana: the flower we saw that day,2011,16,82.0,67
the challenge,1998,16,77.0,67
gypsy,2017,18,68.0,67
fuller house,2016,7,67.0,67
killer inside: the mind of aaron hernandez,2020,18,74.0,67
resident evil: infinite darkness,2021,18,58.0,67
1983,2018,18,68.0,67
wet hot american summer: first day of camp,2015,16,74.0,67
the baker and the beauty,2020,16,74.0,67
spinning out,2020,18,76.0,67
trinkets,2019,18,71.0,67
insatiable,2018,18,65.0,67
the chalet,2018,18,70.0,67
we bare bears,2015,7,79.0,67
gurren lagann,2007,16,83.0,66
friends from college,2017,18,69.0,66
jericho,2006,16,73.0,66
tidelands,2018,18,70.0,66
dear white people,2017,18,62.0,66
dare me,2019,18,67.0,66
ouran high school host club,2006,16,82.0,66
scooby-doo! mystery incorporated,2010,7,80.0,66
the untamed,2019,16,90.0,66
stranger,2017,18,86.0,66
el chapo,2017,18,78.0,66
great news,2017,7,70.0,66
the get down,2016,16,83.0,66
the naked director,2019,18,77.0,66
rise of empires: ottoman,2020,18,79.0,66
club de cuervos,2015,18,82.0,66
toradora!,2008,16,80.0,66
the baby-sitters club,2020,7,74.0,66
carole & tuesday,2019,7,79.0,66
van helsing,2016,16,62.0,66
the night shift,2014,16,74.0,66
"pablo escobar, the drug lord",2012,18,85.0,66
no game no life,2014,16,78.0,66
the king: eternal monarch,2020,16,83.0,66
eden,2021,7,67.0,65
stateless,2020,16,76.0,65
high score,2020,16,74.0,65
dash & lily,2020,7,80.0,65
the confession tapes,2017,16,75.0,65
black butler,2008,18,78.0,65
the rain,2018,18,63.0,65
love is blind,2020,18,61.0,65
trial by media,2020,16,72.0,65
wormwood,2017,16,70.0,65
fear city: new york vs the mafia,2020,18,71.0,65
sorjonen,2016,18,76.0,65
forged in fire,2015,7,84.0,65
baby,2018,18,68.0,65
the disastrous life of saiki k.,2016,16,83.0,65
the innocence files,2020,18,80.0,65
bna,2020,16,72.0,65
the mist,2017,16,54.0,65
halston,2021,18,75.0,65
shaun the sheep,2007,0,82.0,65
the universe,2007,16,87.0,65
self made: inspired by the life of madam c.j. walker,2020,18,73.0,65
shtisel,2013,16,86.0,65
the boss baby: back in business,2018,7,65.0,65
puella magi madoka magica,2011,16,83.0,65
sinatra: all or nothing at all,2015,7,80.0,65
comedians in cars getting coffee,2012,16,81.0,65
senora acero,2014,16,71.0,65
dark tourist,2018,18,75.0,65
criminal: uk,2019,18,76.0,65
the bureau of magical things,2018,7,67.0,65
cleverman,2016,16,64.0,65
the innocent man,2018,18,73.0,65
norsemen,2016,18,78.0,65
pawn stars,2009,7,72.0,65
inside bill's brain: decoding bill gates,2019,16,79.0,65
damnation,2017,18,77.0,65
from dusk till dawn: the series,2014,18,69.0,64
lovesick,2014,18,81.0,64
flint town,2018,18,79.0,64
watership down,2018,7,72.0,64
undercover,2019,18,78.0,64
rita,2012,16,81.0,64
dorohedoro,2020,18,82.0,64
maid sama!,2010,16,80.0,64
mystery science theater 3000: the return,2017,16,80.0,64
is it wrong to try to pick up girls in a dungeon?,2015,16,74.0,64
surviving r. kelly,2019,18,75.0,64
saint seiya,1986,7,85.0,64
flaked,2016,18,72.0,64
fate/zero,2011,18,83.0,64
crazyhead,2016,16,73.0,64
the five,2016,7,76.0,64
h2o: just add water,2006,0,72.0,64
requiem,2018,18,65.0,64
the valhalla murders,2019,18,71.0,64
cardcaptor sakura,1998,7,80.0,64
black earth rising,2018,16,75.0,64
w/ bob & david,2015,18,74.0,64
the trials of gabriel fernandez,2020,18,81.0,64
she's gotta have it,2017,18,68.0,64
save me,2018,16,77.0,64
the curse of oak island,2014,7,70.0,64
black,2017,16,80.0,63
ajin,2016,18,76.0,63
ink master,2012,16,74.0,63
goosebumps,1995,0,77.0,63
vampire knight,2008,16,74.0,63
angel beats!,2010,16,77.0,63
green eggs and ham,2019,7,82.0,63
the hollow,2018,7,72.0,63
dogs,2018,0,81.0,63
november 13: attack on paris,2018,18,83.0,63
it's bruno!,2019,7,75.0,63
wanted,2016,16,77.0,63
masum,2017,16,84.0,63
cable girls,2017,18,76.0,63
lady dynamite,2016,16,74.0,63
power rangers,1993,7,65.0,63
the mire,2018,18,69.0,63
tabula rasa,2017,18,80.0,63
clannad,2007,7,79.0,63
ugly delicious,2018,18,78.0,63
fate/stay night [unlimited blade works],2014,18,80.0,63
man with a plan,2016,7,70.0,63
rilakkuma and kaoru,2019,7,83.0,63
world war ii in hd colour,2009,7,87.0,63
boys over flowers,2009,16,79.0,63
meteor garden,2018,16,81.0,63
"what's new, scooby-doo?",2002,7,73.0,63
sick note,2017,18,68.0,63
big time rush,2009,0,64.0,63
girlboss,2017,18,70.0,63
quicksand,2019,18,75.0,63
rotten,2018,18,72.0,63
the irregulars,2021,18,59.0,63
college romance,2018,18,88.0,63
elite short stories: carla samuel,2021,18,70.0,63
bard of blood,2019,18,69.0,63
charmed,2018,16,46.0,62
the new legends of monkey,2018,7,65.0,62
